,_ID,TimeSt,Country,Province,City,Latitude,Longitude,POI,Distance
4662,4750034,2017-06-21 02:15:16.070,CA,BC,108 Mile Ranch,51.739509999999996,-121.33796000000001,POI1,566235.3622344816
4664,4750136,2017-06-21 17:15:18.013,CA,ON,Toronto,43.7028,-79.3877,POI3,503094.4150847328
4665,4750209,2017-06-21 01:15:18.073,CA,ON,Toronto,43.7028,-79.3877,POI3,503094.4150847328
4666,4750298,2017-06-21 04:15:18.117,CA,ON,Oakville,43.4934,-79.7126,POI3,536874.099019427
4667,4750350,2017-06-21 00:15:18.183,CA,ON,Barrie,44.4015,-79.6782,POI3,496630.1951478601
4668,4750393,2017-06-21 20:15:18.237,CA,ON,Toronto,43.7028,-79.3877,POI3,503094.4150847328
4670,4750549,2017-06-21 20:15:18.280,CA,ON,Ottawa,45.4236,-75.6272,POI3,161085.8703142838
4672,4750703,2017-06-21 01:15:18.333,CA,ON,Barrie,44.4015,-79.6782,POI3,496630.1951478601
4673,4750790,2017-06-21 12:15:18.357,CA,ON,Toronto,43.6651,-79.4369,POI3,508482.7813631055
4674,4750868,2017-06-21 10:15:19.617,CA,ON,Toronto,43.7264,-79.3978,POI3,502693.9756492331
4675,4750880,2017-06-21 07:15:20.050,CA,AB,Calgary,50.87401,-113.98432,POI1,299063.9646473013
4676,4750973,2017-06-21 20:15:21.003,CA,AB,Calgary,51.0915,-114.2073,POI1,277313.80016307335
4677,4751071,2017-06-21 00:15:17.633,CA,AB,Airdrie,51.30254,-114.03939,POI1,252286.6394468923
4678,4751165,2017-06-21 16:15:18.047,CA,AB,Edmonton,53.51875,-113.58752,POI1,7385.66336308658
4679,4751245,2017-06-21 13:15:18.157,CA,ON,Barrie,44.3303,-79.7268,POI3,502645.5016323314
4681,4751309,2017-06-21 22:15:18.270,CA,ON,Barrie,44.3572,-79.6929,POI3,499181.83327425865
4682,4751405,2017-06-21 04:15:18.353,CA,ON,Etobicoke,43.6651,-79.5294,POI3,515179.4207536424
4683,4751433,2017-06-21 19:15:18.363,CA,ON,Barrie,44.4015,-79.6782,POI3,496630.1951478601
